,year,selling_price,km_driven,fuel,seller_type,transmission,mileage,engine,max_power,seats
0,2017,450000,50000,Diesel,Individual,Manual,22.0,1248.0,74.0,5.0
1,2017,450000,50000,Diesel,Individual,Manual,22.0,1248.0,74.0,5.0
2,2017,600000,27000,Diesel,Individual,Manual,22.0,1248.0,74.0,5.0
3,2017,600000,50000,Diesel,Individual,Manual,22.0,1248.0,74.0,5.0
4,2017,350000,35000,Petrol,Individual,Manual,17.0,1193.0,88.0,5.0
5,2017,850000,50000,Diesel,Individual,Manual,17.0,2179.0,147.0,7.0
6,2017,980000,53000,Diesel,Individual,Manual,17.0,2179.0,147.0,7.0
7,2017,969999,26500,Diesel,Dealer,Manual,17.0,2179.0,147.0,7.0
8,2017,1200000,30000,Diesel,Individual,Manual,17.0,2179.0,153.0,7.0
9,2017,1251000,35000,Diesel,Individual,Manual,17.0,2179.0,153.0,7.0
10,2017,1282000,45000,Diesel,Individual,Manual,17.0,2179.0,153.0,7.0
11,2017,1200000,150000,Diesel,Individual,Manual,17.0,2179.0,153.0,7.0
12,2017,1282000,45000,Diesel,Individual,Manual,17.0,2179.0,153.0,7.0
13,2017,1400000,70000,Diesel,Individual,Manual,17.0,2179.0,153.0,7.0
14,2017,1380000,50000,Diesel,Individual,Automatic,17.0,2179.0,153.0,7.0
15,2017,1295000,58000,Diesel,Dealer,Automatic,17.0,2179.0,153.0,7.0
16,2017,1300000,40000,Diesel,Individual,Automatic,17.0,2179.0,153.0,7.0
17,2017,1445000,60000,Diesel,Individual,Automatic,17.0,2179.0,153.0,7.0
18,2017,290000,40000,Diesel,Individual,Manual,25.0,1396.0,69.0,5.0
19,2017,362000,104000,Petrol,Individual,Manual,15.0,1193.0,64.0,5.0
20,2017,385000,155000,Diesel,Individual,Manual,25.0,1396.0,69.0,5.0
21,2017,350000,50000,Diesel,Individual,Manual,25.0,1396.0,69.0,5.0
22,2017,450000,70000,Diesel,Individual,Manual,19.0,1405.0,69.0,5.0
23,2017,66000,70000,Petrol,Individual,Manual,23.0,624.0,37.0,4.0
24,2017,665000,25000,Diesel,Individual,Manual,21.0,1497.0,108.0,5.0
25,2017,869999,70000,Diesel,Individual,Manual,21.0,1497.0,108.0,5.0
26,2017,830000,35000,Diesel,Individual,Manual,21.0,1497.0,108.0,5.0
27,2017,919999,26766,Diesel,Dealer,Manual,21.0,1497.0,108.0,5.0
28,2017,830000,35000,Diesel,Individual,Manual,21.0,1497.0,108.0,5.0
29,2017,830000,35000,Diesel,Individual,Manual,21.0,1497.0,108.0,5.0
30,2017,625000,72000,Diesel,Individual,Manual,13.0,2179.0,138.0,7.0
31,2017,800000,60000,Diesel,Individual,Manual,14.0,2179.0,147.0,7.0
32,2017,1100000,20000,Diesel,Individual,Manual,14.0,2179.0,147.0,7.0
33,2017,850000,100000,Diesel,Individual,Manual,14.0,2179.0,147.0,7.0
34,2017,850000,162000,Diesel,Individual,Manual,14.0,2179.0,147.0,7.0
35,2017,800000,60000,Diesel,Individual,Manual,14.0,2179.0,147.0,7.0
36,2017,570000,51000,Diesel,Individual,Manual,14.0,2956.0,69.0,7.0
37,2017,400000,140000,Diesel,Individual,Manual,14.0,2956.0,69.0,7.0
38,2017,325000,120000,Diesel,Individual,Manual,27.0,1047.0,69.0,5.0
39,2017,360000,50000,Diesel,Individual,Manual,27.0,1047.0,69.0,5.0
40,2017,450000,80000,Diesel,Individual,Manual,27.0,1047.0,69.0,5.0
41,2017,350000,24000,Diesel,Individual,Manual,27.0,1047.0,69.0,5.0
42,2017,450000,89000,Diesel,Individual,Manual,27.0,1047.0,69.0,5.0
43,2017,350000,60000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
44,2017,380000,30000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
45,2017,328000,68000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
46,2017,430000,38000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
47,2017,430000,35000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
48,2017,400000,40000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
49,2017,475000,20000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
50,2017,400000,26000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
51,2017,450000,90000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
52,2017,425000,42000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
53,2017,520000,20000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
54,2017,450000,25000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
55,2017,430000,25000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
56,2017,390000,20000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
57,2017,425000,42000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
58,2017,340000,40300,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
59,2017,409999,60000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
60,2017,450000,15000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
61,2017,380000,28000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
62,2017,450000,30000,Petrol,Individual,Manual,23.0,1199.0,84.0,5.0
63,2017,350000,120000,Diesel,Individual,Manual,27.0,1047.0,69.0,5.0
64,2017,440000,57000,Petrol,Dealer,Manual,23.0,1199.0,84.0,5.0
65,2017,420000,110000,Diesel,Individual,Manual,24.0,1047.0,69.0,5.0
66,2017,597000,15000,Diesel,Individual,Manual,24.0,1047.0,69.0,5.0
67,2017,550000,50000,Diesel,Individual,Manual,24.0,1047.0,69.0,5.0
68,2017,550000,10000,Petrol,Individual,Manual,20.0,1199.0,84.0,5.0
69,2017,493000,40000,Petrol,Individual,Manual,20.0,1199.0,84.0,5.0
70,2017,550000,30000,Petrol,Individual,Manual,20.0,1199.0,84.0,5.0
