year,selling_price,km_driven,seats,class
2017,500000,70000,5,2
2017,515000,60000,5,2
2017,475000,57000,5,2
2017,550000,120000,5,2
2017,490000,80000,5,2
2017,570000,15780,5,0
2017,600000,24500,5,0
2017,590000,70000,5,2
2017,650000,50000,5,2
2017,950000,24000,7,1
2017,595000,120000,7,1
2017,700000,43000,7,1
2017,700000,43000,7,1
2017,840000,30646,7,1
2017,400000,50000,5,2
2017,480000,30400,5,0
2017,450000,6750,5,0
2017,940000,57900,7,1
2017,950000,15000,7,1
2017,850000,30000,7,1
2017,950000,15000,7,1
2017,675000,49523,5,2
2017,650000,47000,5,2
2017,1100000,26000,5,0
2017,850000,11688,5,0
2017,860000,28000,5,0
2017,860000,28000,5,0
2017,860000,28000,5,0
2017,894999,35000,5,0
2017,890000,18300,5,0
2017,1300000,30000,5,4
2017,1250000,33000,5,4
2017,975000,82000,5,2
2017,850000,103000,5,2
2017,1050000,50000,5,2
2017,925000,69000,5,2
2017,795000,41000,5,0
2017,1150000,6825,5,0
2017,1100000,20000,5,0
2017,1025000,68140,5,2
2017,950000,35000,5,0
2017,850000,40000,5,0
2017,875000,18000,5,0
2017,925000,18000,5,0
2017,1750000,73000,5,4
2017,1825000,58000,5,4
2017,1650000,52000,5,4
2017,1650000,52000,5,4
2017,615000,40000,5,0
2017,650000,25000,5,0
2017,670000,50000,5,2
2017,725000,6550,5,0
2017,725000,6550,5,0
2017,525000,37151,5,0
2017,600000,70000,7,1
2018,635000,40000,5,0
2018,750000,15000,5,0
2018,700000,43000,5,0
2018,585000,15000,5,0
2018,560000,50000,5,2
2018,600000,20000,5,0
2018,670000,93000,5,2
2018,825000,40000,5,0
2018,675000,40000,5,0
2018,925000,28900,5,0
2018,1031000,60000,5,2
2018,1085000,1000,5,3
2018,949000,10200,5,3
2018,1180000,5500,5,3
2018,680000,8576,5,0
2018,680000,8576,5,0
2018,675000,24265,5,0
2018,650000,47725,5,0
2018,600000,20000,5,0
2018,860000,40000,5,0
2019,700000,40000,5,3
2019,700000,40000,5,3
2019,680000,15000,5,3
2019,690000,1303,5,3
2019,670000,5000,5,3
2019,640000,6000,5,3
2019,779000,7032,5,3
2019,700000,4500,5,3
2019,800000,10000,5,3
2019,670000,20000,5,3
2019,1100000,50000,7,1
2019,1200000,40000,5,3
2019,1110000,10500,5,3
2019,1227000,5000,5,3
2019,1227000,5000,5,3
2019,1300000,20000,5,3
2019,2000000,24857,5,4
2019,840000,1500,5,3
2019,750000,3100,5,3
2019,840000,1500,5,3
